uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,8
AC,OUTRAS,DOMICILIO,"< 9",M,10
AC,OUTRAS,HOSPITAL,"< 9",F,69
AC,OUTRAS,HOSPITAL,"< 9",I,1
AC,OUTRAS,HOSPITAL,"< 9",M,68
AC,OUTRAS,IGNORADO,"< 9",M,1
AC,OUTRAS,OUTRO,"< 9",F,2
AC,OUTRAS,OUTRO,"< 9",M,3
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,OUTRAS,VIA_PUBLICA,"< 9",M,1
AC,COVID,HOSPITAL,"< 9",F,2
AC,COVID,HOSPITAL,"< 9",M,9
AC,INDETERMINADA,DOMICILIO,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,8
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,17
AC,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
AC,PNEUMONIA,DOMICILIO,"< 9",M,2
AC,PNEUMONIA,HOSPITAL,"< 9",F,13
AC,PNEUMONIA,HOSPITAL,"< 9",M,21
AC,PNEUMONIA,OUTRO,"< 9",M,1
AC,SEPTICEMIA,DOMICILIO,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,37
AC,SEPTICEMIA,HOSPITAL,"< 9",M,60
AC,SRAG,HOSPITAL,"< 9",F,3
AL,OUTRAS,DOMICILIO,"< 9",F,10
AL,OUTRAS,DOMICILIO,"< 9",M,29
AL,OUTRAS,HOSPITAL,"< 9",F,250
AL,OUTRAS,HOSPITAL,"< 9",I,7
AL,OUTRAS,HOSPITAL,"< 9",M,291
AL,OUTRAS,IGNORADO,"< 9",M,1
AL,OUTRAS,OUTRO,"< 9",F,2
AL,OUTRAS,OUTRO,"< 9",M,5
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,8
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,9
AL,OUTRAS,VIA_PUBLICA,"< 9",F,3
AL,OUTRAS,VIA_PUBLICA,"< 9",M,2
AL,COVID,HOSPITAL,"< 9",F,8
AL,COVID,HOSPITAL,"< 9",M,4
AL,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,INDETERMINADA,DOMICILIO,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",M,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,23
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,37
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AL,PNEUMONIA,HOSPITAL,"< 9",F,15
AL,PNEUMONIA,HOSPITAL,"< 9",M,22
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,SEPTICEMIA,DOMICILIO,"< 9",M,1
AL,SEPTICEMIA,HOSPITAL,"< 9",F,79
AL,SEPTICEMIA,HOSPITAL,"< 9",M,96
AL,SRAG,HOSPITAL,"< 9",F,3
AL,SRAG,HOSPITAL,"< 9",M,4
AM,OUTRAS,DOMICILIO,"< 9",F,35
AM,OUTRAS,DOMICILIO,"< 9",M,44
AM,OUTRAS,HOSPITAL,"< 9",F,307
AM,OUTRAS,HOSPITAL,"< 9",I,9
AM,OUTRAS,HOSPITAL,"< 9",M,346
AM,OUTRAS,IGNORADO,"< 9",M,2
AM,OUTRAS,OUTRO,"< 9",F,16
AM,OUTRAS,OUTRO,"< 9",M,14
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,6
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,11
AM,OUTRAS,VIA_PUBLICA,"< 9",M,1
AM,COVID,DOMICILIO,"< 9",F,1
AM,COVID,HOSPITAL,"< 9",F,6
AM,COVID,HOSPITAL,"< 9",M,16
AM,COVID,OUTRO,"< 9",M,2
AM,INDETERMINADA,DOMICILIO,"< 9",F,1
AM,INDETERMINADA,HOSPITAL,"< 9",M,2
AM,INDETERMINADA,OUTRO,"< 9",M,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,5
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,38
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,38
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AM,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
AM,PNEUMONIA,DOMICILIO,"< 9",F,4
AM,PNEUMONIA,DOMICILIO,"< 9",M,4
AM,PNEUMONIA,HOSPITAL,"< 9",F,48
AM,PNEUMONIA,HOSPITAL,"< 9",M,53
AM,PNEUMONIA,OUTRO,"< 9",F,1
AM,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,SEPTICEMIA,DOMICILIO,"< 9",F,2
AM,SEPTICEMIA,DOMICILIO,"< 9",M,1
AM,SEPTICEMIA,HOSPITAL,"< 9",F,120
AM,SEPTICEMIA,HOSPITAL,"< 9",M,172
AM,SEPTICEMIA,OUTRO,"< 9",F,1
AM,SEPTICEMIA,OUTRO,"< 9",M,1
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
AM,SRAG,HOSPITAL,"< 9",F,5
AM,SRAG,HOSPITAL,"< 9",M,8
AP,OUTRAS,DOMICILIO,"< 9",F,3
AP,OUTRAS,HOSPITAL,"< 9",F,39
AP,OUTRAS,HOSPITAL,"< 9",I,1
AP,OUTRAS,HOSPITAL,"< 9",M,42
AP,OUTRAS,IGNORADO,"< 9",F,1
AP,OUTRAS,OUTRO,"< 9",F,3
AP,OUTRAS,OUTRO,"< 9",M,5
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,2
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AP,COVID,HOSPITAL,"< 9",M,2
AP,INDETERMINADA,HOSPITAL,"< 9",F,1
AP,INDETERMINADA,HOSPITAL,"< 9",M,1
AP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,5
AP,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
AP,PNEUMONIA,HOSPITAL,"< 9",F,6
AP,PNEUMONIA,HOSPITAL,"< 9",M,9
AP,PNEUMONIA,OUTRO,"< 9",M,1
AP,SEPTICEMIA,HOSPITAL,"< 9",F,21
AP,SEPTICEMIA,HOSPITAL,"< 9",M,28
AP,SEPTICEMIA,OUTRO,"< 9",M,1
AP,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AP,SRAG,HOSPITAL,"< 9",F,4
AP,SRAG,HOSPITAL,"< 9",M,1
BA,OUTRAS,DOMICILIO,"< 9",F,49
BA,OUTRAS,DOMICILIO,"< 9",M,66
BA,OUTRAS,HOSPITAL,"< 9",F,616
BA,OUTRAS,HOSPITAL,"< 9",I,31
BA,OUTRAS,HOSPITAL,"< 9",M,745
BA,OUTRAS,IGNORADO,"< 9",F,1
BA,OUTRAS,IGNORADO,"< 9",I,2
